TYPE,CODE,NAME
location,230714,    乌伊岭区
location,230715,    红星区
location,230716,    上甘岭区
location,230722,    嘉荫县
location,230781,    铁力市
location,230800,佳木斯市
location,230803,    向阳区
location,230804,    前进区
location,230805,    东风区
location,230811,    郊区
location,230822,    桦南县
location,230826,    桦川县
location,230828,    汤原县
location,230881,    同江市
location,230882,    富锦市
location,230883,    抚远市
location,230900,七台河市
location,230902,    新兴区
location,230903,    桃山区
location,230904,    茄子河区
location,230921,    勃利县
location,231000,牡丹江市
location,231002,    东安区
location,231003,    阳明区
location,231004,    爱民区
location,231005,    西安区
location,231025,    林口县
location,231081,    绥芬河市
location,231083,    海林市
location,231084,    宁安市
location,231085,    穆棱市
location,231086,    东宁市
location,231100,黑河市
location,231102,    爱辉区
location,231121,    嫩江县
location,231123,    逊克县
location,231124,    孙吴县
location,231181,    北安市
location,231182,    五大连池市
location,231200,绥化市
location,231202,    北林区
location,231221,    望奎县
location,231222,    兰西县
location,231223,    青冈县
location,231224,    庆安县
location,231225,    明水县
location,231226,    绥棱县
location,231281,    安达市
location,231282,    肇东市
location,231283,    海伦市
location,232700,大兴安岭地区
location,232721,    呼玛县
location,232722,    塔河县
location,232723,    漠河县
location,310000,上海市
location,310101,    黄浦区
location,310104,    徐汇区
location,310105,    长宁区
location,310106,    静安区
location,310107,    普陀区
location,310109,    虹口区
location,310110,    杨浦区
location,310112,    闵行区
location,310113,    宝山区
location,310114,    嘉定区
location,310115,    浦东新区
location,310116,    金山区
location,310117,    松江区
location,310118,    青浦区
location,310120,    奉贤区
location,310151,    崇明区
location,320000,江苏省
location,320100,南京市
location,320102,    玄武区
location,320104,    秦淮区
location,320105,    建邺区
location,320106,    鼓楼区
location,320111,    浦口区
location,320113,    栖霞区
location,320114,    雨花台区
location,320115,    江宁区
location,320116,    六合区
location,320117,    溧水区
location,320118,    高淳区
location,320200,无锡市
location,320205,    锡山区
location,320206,    惠山区
location,320211,    滨湖区
location,320213,    梁溪区
location,320214,    新吴区
location,320281,    江阴市
location,320282,    宜兴市
location,320300,徐州市
location,320302,    鼓楼区
location,320303,    云龙区
location,320305,    贾汪区
location,320311,    泉山区
location,320312,    铜山区
location,320321,    丰县
location,320322,    沛县
location,320324,    睢宁县
location,320381,    新沂市
location,320382,    邳州市
location,320400,常州市
location,320402,    天宁区
location,320404,    钟楼区
location,320411,    新北区
location,320412,    武进区
location,320413,    金坛区
location,320481,    溧阳市
location,320500,苏州市
location,320505,    虎丘区
location,320506,    吴中区
location,320507,    相城区
location,320508,    姑苏区
location,320509,    吴江区
location,320581,    常熟市
location,320582,    张家港市
location,320583,    昆山市
location,320585,    太仓市
location,320600,南通市
location,320602,    崇川区
location,320611,    港闸区
location,320612,    通州区
location,320621,    海安县
location,320623,    如东县
location,320681,    启东市
location,320682,    如皋市
location,320684,    海门市
location,320700,连云港市
location,320703,    连云区
location,320706,    海州区
location,320707,    赣榆区  
location,320722,    东海县
location,320723,    灌云县
location,320724,    灌南县
location,320800,淮安市
location,320803,    淮安区
location,320804,    淮阴区
location,320812,    清江浦区
location,320813,    洪泽区
location,320826,    涟水县
location,320830,    盱眙县
location,320831,    金湖县
location,320900,盐城市
location,320902,    亭湖区
location,320903,    盐都区
location,320904,    大丰区
location,320921,    响水县
location,320922,    滨海县
location,320923,    阜宁县
location,320924,    射阳县
location,320925,    建湖县
location,320981,    东台市
location,321000,扬州市
location,321002,    广陵区
location,321003,    邗江区
location,321012,    江都区
location,321023,    宝应县
location,321081,    仪征市
location,321084,    高邮市
location,321100,镇江市
location,321102,    京口区
location,321111,    润州区
location,321112,    丹徒区
location,321181,    丹阳市
location,321182,    扬中市
location,321183,    句容市
location,321200,泰州市
location,321202,    海陵区
location,321203,    高港区
location,321204,    姜堰区
location,321281,    兴化市
location,321282,    靖江市
location,321283,    泰兴市
location,321300,宿迁市
location,321302,    宿城区
location,321311,    宿豫区
location,321322,    沭阳县
location,321323,    泗阳县
location,321324,    泗洪县
location,330000,浙江省
location,330100,杭州市
location,330102,    上城区
location,330103,    下城区
location,330104,    江干区
location,330105,    拱墅区
location,330106,    西湖区
location,330108,    滨江区
location,330109,    萧山区
location,330110,    余杭区
location,330111,    富阳区
location,330122,    桐庐县
location,330127,    淳安县
location,330182,    建德市
location,330185,    临安市
location,330200,宁波市
location,330203,    海曙区
location,330205,    江北区
location,330206,    北仑区
location,330211,    镇海区
location,330212,    鄞州区
location,330213,    奉化区
location,330225,    象山县
location,330226,    宁海县
location,330281,    余姚市
location,330282,    慈溪市
location,330300,温州市
location,330302,    鹿城区
location,330303,    龙湾区
location,330304,    瓯海区
location,330305,    洞头区
location,330324,    永嘉县
location,330326,    平阳县
location,330327,    苍南县
location,330328,    文成县
location,330329,    泰顺县
location,330381,    瑞安市
location,330382,    乐清市
location,330400,嘉兴市
location,330402,    南湖区
location,330411,    秀洲区
location,330421,    嘉善县
location,330424,    海盐县
location,330481,    海宁市
location,330482,    平湖市
location,330483,    桐乡市
location,330500,湖州市
location,330502,    吴兴区
location,330503,    南浔区
location,330521,    德清县
location,330522,    长兴县
location,330523,    安吉县
location,330600,绍兴市
location,330602,    越城区
location,330603,    柯桥区
location,330604,    上虞区
location,330624,    新昌县
location,330681,    诸暨市
location,330683,    嵊州市
location,330700,金华市
location,330702,    婺城区
location,330703,    金东区
location,330723,    武义县
location,330726,    浦江县
location,330727,    磐安县
location,330781,    兰溪市
location,330782,    义乌市
location,330783,    东阳市
location,330784,    永康市
location,330800,衢州市
location,330802,    柯城区
location,330803,    衢江区
location,330822,    常山县
location,330824,    开化县
location,330825,    龙游县
location,330881,    江山市
location,330900,舟山市
location,330902,    定海区
location,330903,    普陀区
location,330921,    岱山县
location,330922,    嵊泗县
location,331000,台州市
location,331002,    椒江区
location,331003,    黄岩区
location,331004,    路桥区
location,331021,    玉环县
location,331022,    三门县
location,331023,    天台县
location,331024,    仙居县
location,331081,    温岭市
location,331082,    临海市
location,331100,丽水市
location,331102,    莲都区
location,331121,    青田县
location,331122,    缙云县
location,331123,    遂昌县
location,331124,    松阳县
location,331125,    云和县
location,331126,    庆元县
location,331127,    景宁畲族自治县
location,331181,    龙泉市
location,340000,安徽省
location,340100,合肥市
location,340102,    瑶海区
location,340103,    庐阳区
location,340104,    蜀山区
location,340111,    包河区
location,340121,    长丰县
location,340122,    肥东县
location,340123,    肥西县
location,340124,    庐江县
location,340181,    巢湖市
location,340200,芜湖市
location,340202,    镜湖区
location,340203,    弋江区
location,340207,    鸠江区
location,340208,    三山区
location,340221,    芜湖县
location,340222,    繁昌县
location,340223,    南陵县
location,340225,    无为县
location,340300,蚌埠市
location,340302,    龙子湖区
location,340303,    蚌山区
location,340304,    禹会区
location,340311,    淮上区
location,340321,    怀远县
location,340322,    五河县
location,340323,    固镇县
location,340400,淮南市
location,340402,    大通区
location,340403,    田家庵区
location,340404,    谢家集区
location,340405,    八公山区
location,340406,    潘集区
location,340421,    凤台县
location,340422,    寿县
location,340500,马鞍山市
location,340503,    花山区
location,340504,    雨山区
location,340506,    博望区
location,340521,    当涂县
location,340522,    含山县
location,340523,    和县
location,340600,淮北市
location,340602,    杜集区
location,340603,    相山区
location,340604,    烈山区
location,340621,    濉溪县
location,340700,铜陵市
location,340705,    铜官区
location,340706,    义安区
location,340711,    郊区
location,340722,    枞阳县
location,340800,安庆市
location,340802,    迎江区
location,340803,    大观区
location,340811,    宜秀区
location,340822,    怀宁县
location,340824,    潜山县
location,340825,    太湖县
location,340826,    宿松县
location,340827,    望江县
location,340828,    岳西县
location,340881,    桐城市
location,341000,黄山市
location,341002,    屯溪区
location,341003,    黄山区
location,341004,    徽州区
location,341021,    歙县
location,341022,    休宁县
location,341023,    黟县
location,341024,    祁门县
location,341100,滁州市
location,341102,    琅琊区
location,341103,    南谯区
location,341122,    来安县
location,341124,    全椒县
location,341125,    定远县
location,341126,    凤阳县
location,341181,    天长市
location,341182,    明光市
location,341200,阜阳市
location,341202,    颍州区
location,341203,    颍东区
location,341204,    颍泉区
location,341221,    临泉县
location,341222,    太和县
location,341225,    阜南县
location,341226,    颍上县
location,341282,    界首市
location,341300,宿州市
location,341302,    埇桥区
location,341321,    砀山县
location,341322,    萧县
location,341323,    灵璧县
location,341324,    泗县
location,341500,六安市
location,341502,    金安区
location,341503,    裕安区
location,341504,    叶集区
location,341522,    霍邱县
location,341523,    舒城县
location,341524,    金寨县
location,341525,    霍山县
location,341600,亳州市
location,341602,    谯城区
location,341621,    涡阳县
location,341622,    蒙城县
location,341623,    利辛县
location,341700,池州市
location,341702,    贵池区
location,341721,    东至县
location,341722,    石台县
location,341723,    青阳县
location,341800,宣城市
location,341802,    宣州区
location,341821,    郎溪县
location,341822,    广德县
location,341823,    泾县
location,341824,    绩溪县
location,341825,    旌德县
location,341881,    宁国市
location,350000,福建省
location,350100,福州市
location,350102,    鼓楼区
location,350103,    台江区
location,350104,    仓山区
location,350105,    马尾区
location,350111,    晋安区
location,350121,    闽侯县
location,350122,    连江县
location,350123,    罗源县
location,350124,    闽清县
location,350125,    永泰县
location,350128,    平潭县
location,350181,    福清市
location,350182,    长乐市
location,350200,厦门市
location,350203,    思明区
location,350205,    海沧区
location,350206,    湖里区
location,350211,    集美区
location,350212,    同安区
location,350213,    翔安区
location,350300,莆田市
location,350302,    城厢区
location,350303,    涵江区
location,350304,    荔城区
location,350305,    秀屿区
location,350322,    仙游县
location,350400,三明市
location,350402,    梅列区
location,350403,    三元区
location,350421,    明溪县
location,350423,    清流县
location,350424,    宁化县
location,350425,    大田县
